speech_id,header,talare,party,stratified_top,stratified_score,ollama_top,ollama_top_score,ollama_scores,text_preview,ollama_prob_far_left,ollama_prob_left,ollama_prob_centre_left,ollama_prob_centre,ollama_prob_centre_right,ollama_prob_right,ollama_prob_far_right
277ee5c2-d93f-f111-bf21-6805cafeabf9,Olle Thorell (S) (S),Olle Thorell (S),S,right,0.3353,left,0.8163265306122449,"{""far_left"": 0.0, ""left"": 0.8163265306122449, ""centre_left"": 0.10204081632653061, ""centre"": 0.05102040816326531, ""centre_right"": 0.02040816326530612, ""right"": 0.01020408163265306, ""far_right"": 0.0}","Det är hyckleri på en helt ny nivå som vi tycker är skandalös. Somalia är ett av världens allra mest korrupta länder – plats 179 av 180 mätta länder. I ett sådant land måste man hantera bistånd med oerhörd försiktighet, och det har gjorts genom åren – med armlängds avstånd till korrupta makthavare, med stenhårda kontrollmekanismer och med partner man kan lita på. Man lägger ned sådant bistånd som ",0.0,0.8163265306122449,0.1020408163265306,0.0510204081632653,0.0204081632653061,0.010204081632653,0.0
d44df131-db3f-f111-bf21-6805cafeabf9,Fredrik Lindstål (C) (C),Fredrik Lindstål (C),C,left,0.7579,centre_left,0.4,"{""far_left"": 0.0, ""left"": 0.2, ""centre_left"": 0.4, ""centre"": 0.3, ""centre_right"": 0.1, ""right"": 0.0, ""far_right"": 0.0}","Frågan har redan varit uppe, och det blir lite av en repetition. Men det sägs ju att repetition är kunskapens moder. Det har kommit många kommentarer om att kulturministern valde att inte närvara på årets Guldbaggegala. Jag har i min egenskap av riksdagsledamot inte för avsikt att recensera statsrådets kalenderplanering eller prioriteringar. Bilden som dock målas upp av filmbranschen är nedskärnin",0.0,0.2,0.4,0.3,0.1,0.0,0.0
bde9d6c1-b812-f111-880e-6805cad9744d,Runar Filper (SD) (SD),Runar Filper (SD),SD,left,0.5407,centre_left,0.4,"{""far_left"": 0.0, ""left"": 0.2, ""centre_left"": 0.4, ""centre"": 0.3, ""centre_right"": 0.1, ""right"": 0.0, ""far_right"": 0.0}","Jag tackar Berglund för svaret. Det handlar också om de statliga kulturfastigheterna. Operan måste stänga och evakueras, och putsen i taket i stora delar av Naturhistoriska riksmuseet rasar ned. Under era åtta år vid makten gjordes inget för att stärka underhållet på dessa fastigheter, vilket är beklämmande. Nu pratar ni er varma om det här, men under åtta år gjorde ni inget. Det kan man fråga sig",0.0,0.2,0.4,0.3,0.1,0.0,0.0
dc540a64-5fbb-e511-9431-00262d0d0c40,Stig Henriksson (V) (V),Stig Henriksson (V),V,right,0.3422,centre_left,0.4,"{""far_left"": 0.0, ""left"": 0.2, ""centre_left"": 0.4, ""centre"": 0.3, ""centre_right"": 0.1, ""right"": 0.0, ""far_right"": 0.0}","Jag tycker att det är glädjande att Allan Widman till viss del håller med om det. Jag har självklart inte diskuterat Tone Tingsgårds personliga moral eller kvalifikationer, utan det handlar om principen att man inte utreder sig själv. STYLEREF Kantrubrik \* MERGEFORMAT Fortsatt svenskt deltagande i Natos utbildnings- och rådgivningsinsats RSM i Afghanistan Sedan har vi problemet med säkerhetsläget",0.0,0.2,0.4,0.3,0.1,0.0,0.0
fdee13ca-3518-e611-9437-00262d0d0c40,Mattias Karlsson (SD) (SD),Mattias Karlsson (SD),SD,right,0.4308,left,0.8,"{""far_left"": 0.0, ""left"": 0.8, ""centre_left"": 0.2, ""centre"": 0.0, ""centre_right"": 0.0, ""right"": 0.0, ""far_right"": 0.0}","Jag har också varit den förste att inom partiet plädera för att vi ska dra lärdom av dessa misstag. Vi har gjort misstag, men vi har aldrig samarbetat med terrorister, mördare och torterare. Jag vill fråga statsministern: När du omfamnade Fatah och kallade dem för kära systerparti, visste du då att de ägnade sig åt våld och terrorism, eller tycker du bara att det inte är viktigt att undersöka om d",0.0,0.8,0.2,0.0,0.0,0.0,0.0
0362acbf-4025-ed11-9178-901b0e9b71a8,Eva-Lena Jansson (S) (S),Eva-Lena Jansson (S),S,right,0.4287,left,0.8,"{""far_left"": 0.0, ""left"": 0.8, ""centre_left"": 0.2, ""centre"": 0.0, ""centre_right"": 0.0, ""right"": 0.0, ""far_right"": 0.0}","Jag vill bara ha en kommentar från Hanna Wagenius: Visst behövs en del myndigheter också? I går besökte skatteutskottet en av sina favoritmyndigheter, nämligen skattemyndigheterna. Skattemyndigheterna är ju jätteviktiga i arbetet med att säkerställa att konkurrensen inte snedvrids. Jag uppfattade att Hanna Wagenius sa att myndigheter inte skapar jobb, men de skapar i alla fall bra konkurrens genom",0.0,0.8,0.2,0.0,0.0,0.0,0.0
5284c086-cf85-ec11-9163-901b0eac4c70,Eva-Lena Jansson (S) (S),Eva-Lena Jansson (S),S,left,0.745,centre_left,0.631578947368421,"{""far_left"": 0.0, ""left"": 0.2105263157894737, ""centre_left"": 0.631578947368421, ""centre"": 0.10526315789473685, ""centre_right"": 0.052631578947368425, ""right"": 0.0, ""far_right"": 0.0}",Jag tror inte att Niklas Wykman lyssnade på mitt anförande. Jag försökte redogöra för att det handlade om en helhet i budgetprocessen. Om Niklas Wykman inte förstod vad jag sa då vet jag inte riktigt om mitt svar här kan tillföra någonting mer.,0.0,0.2105263157894737,0.631578947368421,0.1052631578947368,0.0526315789473684,0.0,0.0
80fad202-ccc0-ec11-9167-901b0eac4c78,Birger Lahti (V) (V),Birger Lahti (V),V,left,0.72,centre_left,0.6,"{""far_left"": 0.0, ""left"": 0.4, ""centre_left"": 0.6, ""centre"": 0.0, ""centre_right"": 0.0, ""right"": 0.0, ""far_right"": 0.0}","Men marginalprissättningen talar inte för den politik som vi vill införa, alltså att bygga ut det förnybara jättemycket. Tack för svaret, ledamoten Tovatt! Jag håller med om att vi givetvis ska hjälpa till och vara solidariska med andra länder när vi har överskott. Men jag vet också att vi har skilda åsikter i mitt parti. Det blir inte lätt att övertyga landsbygdsbor i en kommun där man försöker a",0.0,0.4,0.6,0.0,0.0,0.0,0.0
5e0f0b93-7318-ef11-87dd-6805cad9744d,Nooshi Dadgostar (V) (V),Nooshi Dadgostar (V),V,right,0.5266,far_left,0.8,"{""far_left"": 0.8, ""left"": 0.2, ""centre_left"": 0.0, ""centre"": 0.0, ""centre_right"": 0.0, ""right"": 0.0, ""far_right"": 0.0}","Vi ska ha ett Sverige och ett Europa där tågen går i tid och där man kan lägga sig att sova i Stockholm och vakna upp i Paris, Prag eller Rom. Jag noterar att Ulf Kristersson inte är i salen utan har valt att ha en presskonferens mitt i partiledardebatten, i stället för att ha den strax efteråt. Jag hoppas att det finns goda skäl för detta. Men kanske är det för att slippa ta ansvar för det han be",0.8,0.2,0.0,0.0,0.0,0.0,0.0
77b3d0fb-cc3a-ef11-87e1-6805cad9744d,David Perez (SD) (SD),David Perez (SD),SD,right,0.3854,centre_right,0.375,"{""far_left"": 0.0, ""left"": 0.12500000000000003, ""centre_left"": 0.25000000000000006, ""centre"": 0.1875, ""centre_right"": 0.375, ""right"": 0.06250000000000001, ""far_right"": 0.0}","Jag vill börja med att tacka för den fina parentationen. Det är viktigt med god konkurrens för att pressa priser, och det gäller även bolån. Vi föreslår även att staten bör se över fler möjligheter till bostadsköp, framför allt för förstagångsköpare och unga vuxna så att även dessa kan komma in på bostadsmarknaden. Vi anser även att det andra amorteringskravet behöver ses över eller tas bort. Vi a",0.0,0.125,0.25,0.1875,0.375,0.0625,0.0
0396e6d9-44ca-e911-9123-901b0eac4c78,Johan Büser (S) (S),Johan Büser (S),S,right,0.4286,left,0.8,"{""far_left"": 0.0, ""left"": 0.8, ""centre_left"": 0.2, ""centre"": 0.0, ""centre_right"": 0.0, ""right"": 0.0, ""far_right"": 0.0}","Vi ska ta det ansvaret och se till att investera i sjöfarten och i hela infrastrukturen över huvud taget. Långsiktigt behöver vi investera, både för att kommande generationer ska få ta del av infrastrukturen och för att vi ska få effekt i de miljömål som vi har kommit överens om. STYLEREF Kantrubrik \* MERGEFORMAT Sjöfartsfrågor Fru talman! Det gläder mig särskilt att höra ledamoten Anders Hansson",0.0,0.8,0.2,0.0,0.0,0.0,0.0
e0430028-2952-e911-911c-0090facf175a,Ludvig Aspling (SD) (SD),Ludvig Aspling (SD),SD,right,0.5,left,0.8163265306122449,"{""far_left"": 0.0, ""left"": 0.8163265306122449, ""centre_left"": 0.10204081632653061, ""centre"": 0.05102040816326531, ""centre_right"": 0.02040816326530612, ""right"": 0.01020408163265306, ""far_right"": 0.0}",Jag vill därför att statsrådet svarar på en mycket enkel fråga: Varför väljer unionen att inte sätta upp tydliga och uppföljbara mål i budgetförslaget? Sverige har sedan inträdet bidragit med ungefär 600 miljarder kronor till EU:s gemensamma budget. Det är den överlägset största investeringen i Sveriges historia. Den samlade EU-budgeten för år 2021 omfattar enligt föreliggande förslag ungefär 1 66,0.0,0.8163265306122449,0.1020408163265306,0.0510204081632653,0.0204081632653061,0.010204081632653,0.0
b433dd11-b995-ed11-9180-901b0e9b71a0,Justitieministern Gunnar Strömmer (M) (M),Justitieministern Gunnar Strömmer (M),M,far_right,0.4737,left,0.6956521739130435,"{""far_left"": 0.0, ""left"": 0.6956521739130435, ""centre_left"": 0.17391304347826086, ""centre"": 0.08695652173913043, ""centre_right"": 0.043478260869565216, ""right"": 0.0, ""far_right"": 0.0}",Jag tycker att det sätt på vilket Alexander Christiansson närmar sig denna fråga är väldigt glädjande - man tar brottsoffrets utgångspunkt. Det är väldigt lätt att man i den rättspolitiska debatten beaktar andra hänsyn eller lyfter upp andra aspekter av brottslighet än konsekvenserna för de enskilda människor som drabbas. Om jag får börja med att säga något generellt har regeringen i samspel med S,0.0,0.6956521739130435,0.1739130434782608,0.0869565217391304,0.0434782608695652,0.0,0.0
8ba30e9d-9986-e411-9414-00262d0d0c40,Eva-Lena Jansson (S) (S),Eva-Lena Jansson (S),S,right,0.4167,left,0.8163265306122449,"{""far_left"": 0.0, ""left"": 0.8163265306122449, ""centre_left"": 0.10204081632653061, ""centre"": 0.05102040816326531, ""centre_right"": 0.02040816326530612, ""right"": 0.01020408163265306, ""far_right"": 0.0}","Det blev ett långt svar där Nordell egentligen inte kunde svara på frågan. Det beror väl på att han inte har läst rapporterna eller på att han har läst rapporterna. Rapporterna från Inspektionen för socialförsäkringen visar att andelen sjukskrivna ökar på grund av vårdvalet. Den rapport som kom från Riksrevisionen visar att man inte får vård efter behov på grund av vårdvalet, lagen om valfrihet. V",0.0,0.8163265306122449,0.1020408163265306,0.0510204081632653,0.0204081632653061,0.010204081632653,0.0
6b372781-619a-e411-9412-00262d0d7125,Jeff Ahl (SD) (SD),Jeff Ahl (SD),SD,right,0.3475,centre_left,0.4,"{""far_left"": 0.0, ""left"": 0.2, ""centre_left"": 0.4, ""centre"": 0.3, ""centre_right"": 0.1, ""right"": 0.0, ""far_right"": 0.0}","Pernilla Stålhammar svarar inte riktigt på frågan. Praxis är ingen regel eller lag, utan det är just praxis. Men enligt mitt sätt att se det är det i en demokratisk stat meningen att en majoritet ska styra. Om man inte skaffar en majoritet för sin regering i riksdagen har man inte tagit ansvar. Då är det följaktligen regeringen som får ansvar för det kaos som därefter uppstår, framför allt när ett",0.0,0.2,0.4,0.3,0.1,0.0,0.0
2b937693-7606-ec11-9160-901b0e9b71a0,Eric Palmqvist (SD) (SD),Eric Palmqvist (SD),SD,right,0.3764,centre_left,0.8421052631578947,"{""far_left"": 0.0, ""left"": 0.10526315789473684, ""centre_left"": 0.8421052631578947, ""centre"": 0.05263157894736842, ""centre_right"": 0.0, ""right"": 0.0, ""far_right"": 0.0}",Jag vill inleda med att yrka bifall till utskottets förslag och be om ursäkt för att jag sannolikt drar över min anmälda talartid något. I går kunde man läsa i Svenska Dagbladet att Sveriges näringsminister Ibrahim Baylan menar att det behövs nya gruvor om vi ska lyckas med elektrifieringen. Under den här våren har Sveriges gruv- och mineralpolitik debatterats flera gånger här i kammaren. Det är b,0.0,0.1052631578947368,0.8421052631578947,0.0526315789473684,0.0,0.0,0.0
b83ef66e-b2c3-eb11-9156-901b0e9b71a8,Lorena Delgado Varas (V) (V),Lorena Delgado Varas (V),V,right,0.4286,left,0.8,"{""far_left"": 0.0, ""left"": 0.8, ""centre_left"": 0.2, ""centre"": 0.0, ""centre_right"": 0.0, ""right"": 0.0, ""far_right"": 0.0}","Vi har lämnat in en motivreservation, det vill säga att vi vill ha texten lite förändrad. Vi tycker att EU-länderna tillsammans med andra industriländer borde ta ett initiativ till en storskalig tekniköverföring så att vi kan få fler länder att nå en hållbar utveckling. Jag tänkte tala lite kort. Vi pekar ut att vi är positivt inställda till harmonisering av patenträttigheter och licenssystem men ",0.0,0.8,0.2,0.0,0.0,0.0,0.0
1ac76f6b-d43c-e811-9106-901b0e9b71a0,Allan Widman (L) (L),Allan Widman (L),L,centre,0.6375,left,0.6956521739130435,"{""far_left"": 0.0, ""left"": 0.6956521739130435, ""centre_left"": 0.17391304347826086, ""centre"": 0.08695652173913043, ""centre_right"": 0.043478260869565216, ""right"": 0.0, ""far_right"": 0.0}","Jag behöver inte fortsätta uppräkningen med Nordkorea. Jag vill tillägga, herr talman, att när det gäller just icke-spridningsfrågor tror jag att det här med personlig integritet är något mindre viktigt än när det gäller den inriktning som kanske sker av polis och säkerhetspolis. Anledningen till debatten vi har i dag är att vi årligen får en rapport om den granskningsverksamhet som Statens inspek",0.0,0.6956521739130435,0.1739130434782608,0.0869565217391304,0.0434782608695652,0.0,0.0
